menu,dining_course,day
AF Vegan Mashed Potatoes; AF Basil Pomo D'oro Sauce; Grilled Chicken Breast; AF Stuffed Acorn Squash,Allergen Friendly,day1
Apple Pie,Dessert,day1
Roasted Yukon Gold Potatoes; Brown Rice; Steamed Peas,Lighter Side,day1
Carbonara Sauce; Sauce Tomato Al Dente; Penne Pasta; Gemelli Pasta,Pasta,day1
Garlic and Lemon Green Beans; Stuffed Acorn Squash; AF Roast Beef Au Jus; Cauliflower and Mashed Potato,Traditional,day1
Book & Plow Featured Vegetable; AF Roasted Cauliflower Piccatta; AF Cooked Quinoa; AF Piccata Sauce; Grilled Chicken Breast,Allergen Friendly,day2
Vegan Chocolate Covered Cherry Cake; Chocolate Covered Cherry Cake,Dessert,day2
Fresh Catch of the Day; Vegetable of The Day; Baked Sweet Potato,Lighter Side,day2
Pesto Cream Sauce; Sauce Tomato Al Dente; Penne Pasta; Cavatappi Pasta,Pasta,day2
Baked Sausage Radicchio Pasta; Rosemary Focaccia Bread; Ratatouille; Baked Butternut Kale Pasta,Traditional,day2
AF Cooked White Basmati Rice; AF Chana Masala; AF Masala Sauce; Grilled Chicken Breast,Allergen Friendly,day3
Vegan Chocolate Cake; Chocolate Cake with Chocolate Frosting,Dessert,day3
Fresh Catch of the Day; Roasted Potatoes; Turmeric Roasted Cauliflower,Lighter Side,day3
Sauce Tomato Al Dente; Sundried Tomato Sauce; Penne Pasta,Pasta,day3
Chana Masala; Eggplant Begun Bhaja; Parsley and Lemon Cous Cous; Chicken Tikka Masala,Traditional,day3
Book & Plow Featured Vegetable; AF Eggplant Mushroom Ragout; Grilled Chicken Breast,Allergen Friendly,day4
Vegan Strawbery Shortcake; Whipped Cream; Strawbery Shortcake,Dessert,day4
Fresh Catch of the Day; Shiitake & Rice Stuffed Delicata Squash; Roasted Yukon Gold Potatoes,Lighter Side,day4
Sauce Tomato Al Dente; Gorgonzola Sauce; Gemelli Pasta,Pasta,day4
Wheat Pull Apart Rolls; Roasted Brussels Sprouts with Garlic; Rice Pilaf; Cannellini Bean and Mushroom Ragout; Short Rib Ragout,Traditional,day4
Book & Plow Featured Vegetable; Grilled Chicken Breast; AF Quinoa Breakfast Hash,Allergen Friendly,day5
Vegan Apple Crisp,Dessert,day5
Fresh Catch of the Day; Roasted Calico Fingerling Potatoes; Roasted Carrots,Lighter Side,day5
Sauce Tomato Al Dente; Boscaiola Sauce; Gemelli Pasta,Pasta,day5
French Toast; Blueberries; Strawberries; Whipped Cream; Turkey Sausage Link; Chicken Bacon Ranch Hash; Cage Free Scrambled Eggs; Tater Tots,Traditional,day5
Book & Plow Featured Vegetable; AF Cooked Jasmine Rice; AF Chinese 5 Spice Mushroom Stir Fry; AF Kalbi Marinade; Grilled Chicken Breast,Allergen Friendly,day6
Vegan Oatmeal Fudge Bars; White Chocolate Raspberry Cheesecake,Dessert,day6
