day,meal_type,dining_course,menu
day1,dinner,Allergen Friendly,AF Vegan Mashed Potatoes
day1,dinner,Allergen Friendly,AF Basil Pomo D'oro Sauce
day1,dinner,Allergen Friendly,Grilled Chicken Breast
day1,dinner,Allergen Friendly,AF Stuffed Acorn Squash
day1,dinner,Dessert,Apple Pie
day1,dinner,Lighter Side,Roasted Yukon Gold Potatoes
day1,dinner,Lighter Side,Brown Rice
day1,dinner,Lighter Side,Steamed Peas
day1,dinner,Pasta,Carbonara Sauce
day1,dinner,Pasta,Sauce Tomato Al Dente
day1,dinner,Pasta,Penne Pasta
day1,dinner,Pasta,Gemelli Pasta
day1,dinner,Traditional,Garlic and Lemon Green Beans
day1,dinner,Traditional,Stuffed Acorn Squash
day1,dinner,Traditional,AF Roast Beef Au Jus
day1,dinner,Traditional,Cauliflower and Mashed Potato
day2,dinner,Allergen Friendly,Book & Plow Featured Vegetable
day2,dinner,Allergen Friendly,AF Roasted Cauliflower Piccatta
day2,dinner,Allergen Friendly,AF Cooked Quinoa
day2,dinner,Allergen Friendly,AF Piccata Sauce
day2,dinner,Allergen Friendly,Grilled Chicken Breast
day2,dinner,Dessert,Vegan Chocolate Covered Cherry Cake
day2,dinner,Dessert,Chocolate Covered Cherry Cake
day2,dinner,Lighter Side,Fresh Catch of the Day
day2,dinner,Lighter Side,Vegetable of The Day
day2,dinner,Lighter Side,Baked Sweet Potato
day2,dinner,Pasta,Pesto Cream Sauce
day2,dinner,Pasta,Sauce Tomato Al Dente
day2,dinner,Pasta,Penne Pasta
day2,dinner,Pasta,Cavatappi Pasta
day2,dinner,Traditional,Baked Sausage Radicchio Pasta
day2,dinner,Traditional,Rosemary Focaccia Bread
day2,dinner,Traditional,Ratatouille
day2,dinner,Traditional,Baked Butternut Kale Pasta
day3,dinner,Allergen Friendly,AF Cooked White Basmati Rice
day3,dinner,Allergen Friendly,AF Chana Masala
day3,dinner,Allergen Friendly,AF Masala Sauce
day3,dinner,Allergen Friendly,Grilled Chicken Breast
day3,dinner,Dessert,Vegan Chocolate Cake
day3,dinner,Dessert,Chocolate Cake with Chocolate Frosting
day3,dinner,Lighter Side,Fresh Catch of the Day
day3,dinner,Lighter Side,Roasted Potatoes
day3,dinner,Lighter Side,Turmeric Roasted Cauliflower
day3,dinner,Pasta,Sauce Tomato Al Dente
day3,dinner,Pasta,Sundried Tomato Sauce
day3,dinner,Pasta,Penne Pasta
day3,dinner,Traditional,Chana Masala
day3,dinner,Traditional,Eggplant Begun Bhaja
day3,dinner,Traditional,Parsley and Lemon Cous Cous
day3,dinner,Traditional,Chicken Tikka Masala
day4,dinner,Allergen Friendly,Book & Plow Featured Vegetable
day4,dinner,Allergen Friendly,AF Eggplant Mushroom Ragout
day4,dinner,Allergen Friendly,Grilled Chicken Breast
day4,dinner,Dessert,Vegan Strawbery Shortcake
day4,dinner,Dessert,Whipped Cream
day4,dinner,Dessert,Strawbery Shortcake
day4,dinner,Lighter Side,Fresh Catch of the Day
day4,dinner,Lighter Side,Shiitake & Rice Stuffed Delicata Squash
day4,dinner,Lighter Side,Roasted Yukon Gold Potatoes
day4,dinner,Pasta,Sauce Tomato Al Dente
day4,dinner,Pasta,Gorgonzola Sauce
day4,dinner,Pasta,Gemelli Pasta
day4,dinner,Traditional,Wheat Pull Apart Rolls
day4,dinner,Traditional,Roasted Brussels Sprouts with Garlic
day4,dinner,Traditional,Rice Pilaf
day4,dinner,Traditional,Cannellini Bean and Mushroom Ragout
day4,dinner,Traditional,Short Rib Ragout
day5,dinner,Allergen Friendly,Book & Plow Featured Vegetable
day5,dinner,Allergen Friendly,Grilled Chicken Breast
day5,dinner,Allergen Friendly,AF Quinoa Breakfast Hash
day5,dinner,Dessert,Vegan Apple Crisp
day5,dinner,Lighter Side,Fresh Catch of the Day
day5,dinner,Lighter Side,Roasted Calico Fingerling Potatoes
day5,dinner,Lighter Side,Roasted Carrots
day5,dinner,Pasta,Sauce Tomato Al Dente
day5,dinner,Pasta,Boscaiola Sauce
day5,dinner,Pasta,Gemelli Pasta
day5,dinner,Traditional,French Toast
day5,dinner,Traditional,Blueberries
day5,dinner,Traditional,Strawberries
day5,dinner,Traditional,Whipped Cream
day5,dinner,Traditional,Turkey Sausage Link
day5,dinner,Traditional,Chicken Bacon Ranch Hash
day5,dinner,Traditional,Cage Free Scrambled Eggs
day5,dinner,Traditional,Tater Tots
day6,dinner,Allergen Friendly,Book & Plow Featured Vegetable
day6,dinner,Allergen Friendly,AF Cooked Jasmine Rice
day6,dinner,Allergen Friendly,AF Chinese 5 Spice Mushroom Stir Fry
day6,dinner,Allergen Friendly,AF Kalbi Marinade
day6,dinner,Allergen Friendly,Grilled Chicken Breast
day6,dinner,Dessert,Vegan Oatmeal Fudge Bars
day6,dinner,Dessert,White Chocolate Raspberry Cheesecake
day6,dinner,Lighter Side,Fresh Catch of the Day
day6,dinner,Lighter Side,Baked Sweet Potato
day6,dinner,Pasta,Red Clam Sauce
day6,dinner,Pasta,Sauce Tomato Al Dente
day6,dinner,Pasta,Gemelli Pasta
day6,dinner,Traditional,Togarashi Green Beans
day6,dinner,Traditional,Coconut Rice
day6,dinner,Traditional,Tofu with Kalbi Marinade
day6,dinner,Traditional,Kalbi Beef Short Ribs
day7,dinner,Allergen Friendly,Book & Plow Featured Vegetable
day7,dinner,Allergen Friendly,Corn Tortilla
day7,dinner,Allergen Friendly,AF Grilled Vegetable Taco Filling
day7,dinner,Allergen Friendly,AF Enchilada Sauce
day7,dinner,Allergen Friendly,Grilled Chicken Breast
day7,dinner,Burger Bar,Red Onion
day7,dinner,Burger Bar,Green Leaf Lettuce
day7,dinner,Burger Bar,White Cheddar Cheese
day7,dinner,Burger Bar,Tomato
day7,dinner,Dessert,Vegan Chocolate Chip Cake
