day,meal_type,dining_course,menu
day1,lunch,Allergen Friendly,AF Creole Fried Chicpea Tofu
day1,lunch,Allergen Friendly,AF Lemon Parsley Quinoa
day1,lunch,Allergen Friendly,AF Charlie's Chicken
day1,lunch,Dessert,Crispy Chewy Treats
day1,lunch,Dessert,Rice Krispy Treats
day1,lunch,Lighter Side,Roast Sweet Potato
day1,lunch,Lighter Side,Steamed Kale
day1,lunch,Lighter Side,Grilled Chicken Breast
day1,lunch,Soup,Carrot Ginger Soup
day1,lunch,Soup,French Onion Soup
day1,lunch,Traditional,Pure Maple Syrup
day1,lunch,Traditional,AF Citrus Roasted Beets
day1,lunch,Traditional,Cheddar Grits
day1,lunch,Traditional,Buttermilk Biscuit
day1,lunch,Traditional,Sausage Gravy
day1,lunch,Traditional,Cage Free Scrambled Eggs
day1,lunch,Traditional,Country Fried Steak
day2,lunch,Allergen Friendly,AF Szechuan Chicken
day2,lunch,Allergen Friendly,AF Steamed Rice Brown
day2,lunch,Allergen Friendly,AF Szechuan Chickpea Tofu
day2,lunch,Dessert,Peppermint Chocolate Brownie
day2,lunch,Dessert,Vegan Peppermint Brownies
day2,lunch,Lighter Side,Steamed Broccoli
day2,lunch,Lighter Side,Roasted Potatoes
day2,lunch,Lighter Side,Grilled Chicken Breast
day2,lunch,Salad Bar,Egg Salad
day2,lunch,Salad Bar,"Kale, Cabbage and Cranberry Slaw"
day2,lunch,Salad Bar,Kalamata Olive Hummus
day2,lunch,Salad Bar,Sesame Ginger Pasta Salad
day2,lunch,Soup,Butternut Squash & Apple Soup
day2,lunch,Soup,Beef and Barley Soup
day2,lunch,Traditional,Vegetable Egg Rolls
day2,lunch,Traditional,Sauteed Snap Peas and Mushrooms
day2,lunch,Traditional,Vegetable Fried Rice
day2,lunch,Traditional,Vegan Sesame Nuggets
day2,lunch,Traditional,Tempura Tender
day3,lunch,Allergen Friendly,AF Chili Lime Chicken
day3,lunch,Allergen Friendly,Gluten Free Tortilla
day3,lunch,Allergen Friendly,AF Cooked Jasmine Rice
day3,lunch,Allergen Friendly,AF Chili Lime Seared Chickpea Tofu
day3,lunch,Burrito Bar,Sour Cream
day3,lunch,Burrito Bar,Diced Tomatoes
day3,lunch,Burrito Bar,"Cilantro, Chopped"
day3,lunch,Burrito Bar,Guacamole
day3,lunch,Burrito Bar,Pico de Gallo
day3,lunch,Burrito Bar,"Iceberg, Lettuce, Shredded"
day3,lunch,Dessert,Vegan Vanilla Coconut Cookie
day3,lunch,Dessert,Sugar Cookie
day3,lunch,Lighter Side,Roasted Yukon Gold Potatoes
day3,lunch,Lighter Side,Cremini Mushrooms
day3,lunch,Lighter Side,Grilled Chicken Breast
day3,lunch,Lighter Side,Roasted Vegetables
day3,lunch,Salad Bar,Sesame Ginger Pasta Salad
day3,lunch,Salad Bar,"Kale, Cabbage and Cranberry Slaw"
day3,lunch,Salad Bar,Kalamata Olive Hummus
day3,lunch,Salad Bar,Egg Salad
day3,lunch,Soup,Pasta Fagioli with Sausage
day3,lunch,Soup,Chipotle Sweet Potato Soup
day3,lunch,Traditional,Mexican Rice
day3,lunch,Traditional,Jalapeno Cheese Sauce
day3,lunch,Traditional,Steamed Corn
day3,lunch,Traditional,Braised Beef Taco Filling
day3,lunch,Traditional,Black Bean Veggie Burrito Filling
day4,lunch,Allergen Friendly,AF Pasta Bolognese
day4,lunch,Allergen Friendly,Millet
day4,lunch,Allergen Friendly,AF Pasta Primavera
day4,lunch,Dessert,Vegan Oatmeal Raisin Cookies
day4,lunch,Dessert,Vegan Ranger Cookies
day4,lunch,Lighter Side,Baked Sweet Potato
day4,lunch,Lighter Side,Steamed Fresh Carrots
day4,lunch,Lighter Side,Grilled Chicken Breast
day4,lunch,Salad Bar,Toasted Quinoa Butternut Salad
day4,lunch,Salad Bar,Tuna Salad
day4,lunch,Salad Bar,Sweet Potato Salad with Cilantro & Lime
day4,lunch,Salad Bar,Red Pepper Hummus
day4,lunch,Soup,Soup Turkey Gumbo Kettle Cuisine
day4,lunch,Soup,White Bean & Escarole Soup
day4,lunch,Traditional,Roasted Broccoli
day4,lunch,Traditional,Garlic and Herb Breadsticks
day4,lunch,Traditional,Meatless American Chop Suey
day4,lunch,Traditional,American Chop Suey
day5,lunch,Allergen Friendly,AF Rice Pilaf
day5,lunch,Allergen Friendly,AF Cider Mill BBQ Sauce
day5,lunch,Allergen Friendly,AF BBQ Chickpea Tofu
day5,lunch,Allergen Friendly,AF Grilled Chicken Breast
day5,lunch,Dessert,Raspberry Coconut Macaroon Bar
day5,lunch,Dessert,Vegan Vanilla Raspberry Coconut Cookie
day5,lunch,Lighter Side,Roasted Potatoes
day5,lunch,Lighter Side,Steamed Swiss Chard
day5,lunch,Lighter Side,Grilled Chicken Breast
day5,lunch,Salad Bar,Cornmeal Dusted Challa Roll
day5,lunch,Salad Bar,Tuna Salad
day5,lunch,Salad Bar,Sweet Potato Salad with Cilantro & Lime
day5,lunch,Salad Bar,Red Pepper Hummus
day5,lunch,Salad Bar,Toasted Quinoa Butternut Salad
day5,lunch,Soup,White Cauliflower & Cheddar Soup
day5,lunch,Soup,Chicken and Roasted Corn Chowder
day5,lunch,Traditional,BBQ Smoked Tofu
day5,lunch,Traditional,Roasted Broccoli and Cauliflower
day5,lunch,Traditional,Pulled BBQ Chicken
day5,lunch,Traditional,Corn Bread
day5,lunch,Traditional,Macaroni and Cheese
day6,lunch,Allergen Friendly,AF Cooked Brown Basmati Rice
day6,lunch,Allergen Friendly,AF Curried Mango Jackfruit
day6,lunch,Allergen Friendly,AF Mango Chicken Curry
day6,lunch,Dessert,Cacao Brownie
day6,lunch,Dessert,Vegan Cacao Brownies
day6,lunch,Lighter Side,Grilled Chicken Breast
day6,lunch,Lighter Side,Roasted Yukon Gold Potatoes
day6,lunch,Lighter Side,Roasted Butternut Squash
day6,lunch,Salad Bar,Toasted Quinoa Butternut Salad
day6,lunch,Salad Bar,Sweet Potato Salad with Cilantro & Lime
