Cage Free Scrambled Eggs,105 (1/2 cup),Liquid Eggs/Eggs
Tofu Scramble with Artichoke & Mushroom,NA,Tofu(Ingredients: Water/ Organic Whole Soybeans/ Magnesium Chloride.)/ Mushroom/ Cremini/ Quartered(Cremini Mushrooms)/ Onion/ Spanish/ Diced(Onions)/ Artichoke Hearts(Ingredients: Quartered Artichoke Hearts/ Water/ Salt/ Citric Acid.)/ Nutritional Yeast(Dried yeast/ niacin/ pyridoxine/ hydrochloride (B6)/ riboflavin (B2)/ thiamin/ hydrochloride (B1)/ folic acid/ vitamin B12.)/ Ground Black Pepper/soy
Cage Free Hard Boiled Egg,72 (1 egg),Fresh Cage Free Medium Eggs
Apple Cinnamon Pancakes,176 (2 pancakes),Pancake Mix(INGREDIENTS: ENRICHED BLEACHED FLOUR (BLEACHED WHEAT FLOUR/ NIACIN/ REDUCED IRON/ THIAMIN MONONITRATE/ RIBOFLAVIN/ FOLIC ACID)/ SUGAR/ LEAVENING (SODIUM BICARBONATE/ SODIUM ALUMINUM PHOSPHATE/ MONOCALCIUM PHOSPHATE)/ DEXTROSE/ DRIED BUTTERMILK/ PARTIALLY HYDROGENATED SOYBEAN OIL/ SALT/ WHEAT GLUTEN/ DEFATTED SOY FLOUR/ CALCIUM CARBONATE/ CORN SYRUP SOLIDS/ NONFAT DRY MILK/ SOY LECITHIN/ SODIUM CASEINATE/ MONO AND DIGLYCERIDES/ SOYBEAN OIL/ LACTIC ACID. CONTAINS WHEAT/ MILK AND SOY INGREDIENTS. MAY CONTAIN TRACES OF EGG.)/ Local Apple Cider/ Apple(Ingredients: Apples (Treated with Ascorbic Acid/ Citric Acid/ Salt).)/ Sugar/ Cinnamon/Dairy/Eggs/Gluten/Soy/Wheat
Canadian Bacon,89 (2 slices),Water/ salt/ dextrose/ sodium phosphates/ sodium erythorbate/ sodium nitrate/Pork
Chicken Sausage Patty,80 (1 patty),Chicken/ Water/ Salt/ Spices/ Dextrose/ Sugar/ Dried Parsley
Santa Fe Potatoes,NA,Potatoes(Ingredients: Diced Potatoes/ Dextrose/ Potassium Sorbate/ Disodium Pyrophosphate.)/ Green Chili Peppers(Green Chile Peppers/ Water/ Salt/ Citric Acid/ Calcium Chloride.)/ Tomatoes(Tomatoes)/ Onions(Onions)/ Olive Oil/ Kosher Salt/ Parsley/ Chopped(Fresh Italian Parsley)/ Ground Black Pepper
Maine Rolled Oats,202 (1 cup),Water/ Maine Rolled Oats (Ingredients: Locally Sourced Organic Rolled Oats.)/ Sea Salt
Hoop Cheddar Grits,NA,Mirepoix Stock(Water/ Mirepoix Base(Ingredients: Sauteed Pureed Carrots/ Celery and Onions (with canola oil)/ Salt/ Sugar/ Hydrolyzed Corn Protein/ Onion Powder/ Autolyzed Yeast Extract/ Food Starch-Modified/ Carrot Powder/ Turmeric/ Spice Extractives/ Citric Acid))/ Heavy Cream(Ingredients: Grade A Heavy Cream.)/ Grits(Ingredients: Degerminated White Corn Grits/ Calcium Carbonate/ Reduced Iron/ Niacinamide/ BHT/ Citric Acid/ Thiamin Mononitrate/ Riboflavin/ Folic Acid)/ White Cheddar Cheese/ Unsalted Butter(Ingredients: Cream)/ Sea Salt
white rice,107 (1/2 cup),Water/ Jasmine Rice
Red Grapes,NA,red grapes
Mandarin Oranges,NA,mandarin oranges
Greek Yogurt,64 (1/2 cup),Nonfat yogurt (cultured pasteurized nonfat milk). Contains Live and Active Cultures: S. Thermophilus/ L. Bulgaricus/ L. Acidophilus/ Bifidus and L. Casei
Vanilla Yogurt,113 (1/2 cup),Cultured Grade A Low Fat Milk/ Sugar/ Modified Corn Starch/ Corn Starch/ Potassium Sorbate/ Natural Flavor/ Vitamin A Acetate/ Vitamin D3
Soy Yogurt,18 (1 ounce),Soy Milk (Filtered Water/ Soybeans)/ Cane Sugar/ Corn Starch/ Natural Flavor/ Pectin/ Tricalcium Phosphate/ Citric Acid/ Dipotassium Phosphate/ Sea Salt/ Live and Active Cultures/ Vitamin D2/ Vitamin C Ester/ Mixed Tocopherols.
Coconut and Fruit Granola,119 (1 ounce),gluten free oats/ coconut syrup/ raisins (raisins/ high oleic sunflower oil)/ sunflower seeds/ unsweetened dried coconut/ dried cranberries (cranberries/ apple juice concentrate/ sunflower oil)/ high oleic sunflower oil/ maple syrup/ coriander/ vanilla/ sea salt/coconut
Cinnamon Chocolate Chip Coffee Cake,306 (slice),Sugar/ All Purpose Flour(WHEAT FLOUR/ MALTED BARLEY FLOUR/ NIACIN/ IRON/ THIAMIN MONONITRATE/ RIBOFLAVIN/ FOLIC ACID.)/ Sour Cream(Cultured Pasteurized Light Cream/ Modified Corn Starch/ Nonfat Milk/ Disodium Phospahate/ Guar Gum/ Sodium Citrate/ Carrageenan and Locust Bean Gum)/ Butter(Ingredients: Cream/ Salt)/ Semi-Sweet Chocolate Chips(Semi-Sweet Chocolate (Sugar/ Chocolate/ Cocoa Butter/ Milk Fat/ Soy Lecithin/ Vanillin/ Artificial Flavor/ Milk))/ Fresh Cage Free Medium Eggs/ Baking Powder(Ingredients: Baking Soda (for leavening)/ Cornstarch/ Sodium Aluminum Sulfate (for leavening)/ Calcium Sulfate/ Monocalcium Phosphate (for leavening).)/ Vanilla Paste(Ingredients: Pure Vanilla Extratives/ Sugar/ Vanilla Beans/Xanthan Gum)/ Cinnamon/ Salt/dairy/Eggs/Gluten/Soy/Wheat
Vegan GF Cinnamon Chocolate Chip Muffin,227 (1 slice),Gluten Free Flour(ingredients: Sweet White Rice Flour/ Whole Grain Brown Rice Flour/ Potato Starch/ Whole Grain Sweet White Sorghum Flour/ Tapioca Flour/ Xanthan Gum)/ Hemp Milk(Ingredients: Hemp Nut Base (Filtered Water/ Hemp Nut [Shelled Hemp Seed}/ Vanilla Extract/ Sunflower Lecithin/ Tricalcium Phosphate/ Gellan Gum/ Sea Salt/ Vitamin A Palmitate/ Vitamin D2/ Riboflavin/ Vitamin B12))/ Sugar/ Canola Oil/ Semi-Sweet Chocolate Chips Vegan(Ingredients: Chocolate Liquor/ Cocoa Butter/ Soy Lecithin/ Vanillia)/ Baking Powder(Ingredients: Baking Soda (for leavening)/ Cornstarch/ Sodium Aluminum Sulfate (for leavening)/ Calcium Sulfate/ Monocalcium Phosphate (for leavening).)/ Salt/ Cinnamon/ Vanilla Paste(Ingredients: Pure Vanilla Extratives/ Sugar/ Vanilla Beans/Xanthan Gum)/soy
