salad,Toasted Quinoa Butternut Salad,148,(4 oz),Roasted Butternut Squash(Butternut Squash/ Pure Maple Syrup(Ingredients: Pure Maple Syrup)/ Canola Oil/ Salt and Pepper Mix 2:1(Kosher Salt/ Ground Black Pepper)/ Cinnamon)/ Quinoa/ Onion/ Red/ Diced(Red Onion)/ Extra Virgin Olive Oil/ Arugula/ Pumpkin Seeds/ Dried Apricot/ Apple Cider Vinegar(Ingredients: Apple Cider Vinegar/ Water.)/ Pure Maple Syrup(Ingredients: Pure Maple Syrup)/ Parsley/ Chopped(Fresh Italian Parsley)/ Kosher Salt/ Ground Black Pepper
salad,Sweet Potato Salad with Cilantro & Lime,130,(3 oz Serving),Sweet Potato(Ingredients: Red Potatoes/ Disodium Pyrophosphate/ Potassium Sorbate.)/ Black Beans(SOAKED BLACK BEANS/ WATER/ SALT/ CALCIUM CHLORIDE)/ Red Bell Pepper(Red Bell Pepper)/ Canola Oil/ Scallions(Green Onion)/ Cilantro/ Chopped(Cilantro)/ Canola Oil/ Fresh Lime Juice/ Pure Maple Syrup(Ingredients: Pure Maple Syrup)/ Pepper Chipotle Adobo/ Kosher Salt/ Lime Zest/ Kosher Salt/ Ground Black Pepper
salad,Red Pepper Hummus,12,(Tablespoon),Chickpeas(Prepared Garbanzo Beans/ Water/ Salt/ Disodium EDTA Added to Help Promote Color Retention)/ Red Bell Pepper/ Fresh Lemon Juice/ Extra Virgin Olive Oil/ Tahini(Ingredients:100% Ground Sesame)/ Garlic/ Minced(Garlic)/ Curry Powder(Ingredients: Tumeric/ Ocriander/ Fenugreek/ Cumin/ Black Pepper/ Ginger/ Mustard/ Fennel/ Allspice/ Chili Pepper.)/ Kosher Salt/ Crushed Red Pepper/ Ground Cumin/ Coriander
salad,Tuna Salad,238,(4 oz),Yellowfin Tuna/ Vegan Mayonnaise Spread(Ingredients: Expeller Pressed Canola Oil/ Water/ Organic Distilled Vinegar/ Salt/ Modified Food Starch/ Cane Sugar/ Spice/ Natural Flavor/ Lemon Juice Concentrate/ Calcium Disodium EDTA/ Oleoresin Paprika)/ Celery/ Diced(Celery)/ Scallions(Green Onion)/Fish
salad,Tortellini Salad,566,(4 oz),Cheese Tortellini(Water/ Cheese Tortellini(Pasta Ingredients: Extra Fancy Durum Flour/ Water Eggs/ Imported Romano Cheese/ Ricotta Cheese/ Swiss Cheese/ Bread Crumbs/ Water/ Canola Oil/ Salt/ Spices and Nutmeg.)/ Kosher Salt)/ Buttermilk Ranch Dressing(Ingredients: Soybean Oil/ Water/ Buttermilk/ Vinegar/ High Fructose Corn Syrup/ Egg Yolk/ Buttermilk Solids (Milk)/ Contains Less Than 2% of: Salt/ Onion/ Monosodium Glutamate/ Garlic/ Xanthan Gum/ Lactic Acid/ Polysorbate 60/ Potassium Sorbate as a preservative/ Phosphoric Acid/ Propylene Glycol Alginate/ Spice.)/ Broccoli/ Basil Pesto(Ingredients: Basil/ Canola Oil/ Extra Virgin Olice Oil/ Romano Cheese (Pasteurized Sheep's Milk/ Cultures/ Rennet/ Salt)/ Chopped Garlic/ Salt.)/ Scallions(Green Onion)/Dairy/Eggs/Gluten/Soy/Wheat
salad,Sriracha Tuna Salad,67,(Ounce),Yellowfin Tuna/ Vegan Mayonnaise Spread(Ingredients: Expeller Pressed Canola Oil/ Water/ Organic Distilled Vinegar/ Salt/ Modified Food Starch/ Cane Sugar/ Spice/ Natural Flavor/ Lemon Juice Concentrate/ Calcium Disodium EDTA/ Oleoresin Paprika)/ Chili Sauce(Ingredients: Chili/ Sugar/ Salt/ Garlic/ Distilled Vinegar/ Potassium Sorbate/ Sodium Bisulfate/ Xanthan Gum.)/ Garlic Powder(Ingredients: Ground/ Dehydrated Garlic.)/ Onion Powder(Ingredients: Ground/ Dehydrated Onion.)/Fish
salad,Fresh Mozzarella and Tomato Salad,169,(3 oz Portion),Fresh Mozzarella(Ingredients: Pasteurized Whole Milk/ Starter/ Cheese Cultures/ Vegetable Rennet and Salt.)/ Grape Tomatoes/ Extra Virgin Olive Oil/ White Balsamic Vinegar(Ingredients: Wine Vinegar/ Concentrated Grape Must/ Balsamic Vinegar of Modena (Wine Vinegar/ Concentrated Grape Must)/ Sulfur Dioxide.)/ Basil/ Chiffonade(Fresh Basil)/ Kosher Salt/ Ground Black Pepper/Dairy
salad,Spinach Hummus,33,(Tablespoon),Chickpeas(Prepared Garbanzo Beans/ Water/ Salt/ Disodium EDTA Added to Help Promote Color Retention)/ Olive Oil/ Fresh Lemon Juice/ Garlic/ Tahini(Ingredients:100% Ground Sesame)/ Spinach/ Kosher Salt
salad,Pesto Chicken Salad,50,(Ounce),Chicken Breast(Ingredients: Boneless/ Skinless Chicken Breast with Rib Meat/ Water/ Rice Starch/ Sea Salt/ Vinegar.)/ Vegan Mayonnaise Spread(Ingredients: Expeller Pressed Canola Oil/ Water/ Organic Distilled Vinegar/ Salt/ Modified Food Starch/ Cane Sugar/ Spice/ Natural Flavor/ Lemon Juice Concentrate/ Calcium Disodium EDTA/ Oleoresin Paprika)/ Red Bell Pepper/ Basil Pesto(Ingredients: Basil/ Canola Oil/ Extra Virgin Olice Oil/ Romano Cheese (Pasteurized Sheep's Milk/ Cultures/ Rennet/ Salt)/ Chopped Garlic/ Salt.)/ Kosher Salt/ Ground Black Pepper/Dairy
salad,Pearl Pasta Salad with Apricot,246,(4 oz Portion),Water/ Israeli Couscous/ Celery/ Diced(Celery)/ Dried Apricot/ Golden Raisins(Ingredients: Seedless Raisins)/ Fresh Lemon Juice/ Sunflower Seeds/ Extra Virgin Olive Oil/ Parsley/ Chopped(Fresh Italian Parsley)/ White Wine Vinegar(Ingredients: White Distilled Vinegar/ Water.)/ Shallots/ Spicy Brown Mustard(Vinegar/ Mustard Seed/ Salt/ Spices/ Turmeric)/ Kosher Salt/ Garlic/ Minced(Garlic)/ Tarragon/ Chopped(Tarragon)/ Ground Black Pepper/ Crushed Red Pepper/Gluten/Wheat
salad,White Bean Hummus,16,(Tablespoon),White Kidney Beans(SOAKED WHITE KIDNEY BEANS/ WATER. CONTAINS LESS THAN 2% OF: SALT/ CALCIUM CHLORIDE/ DISODIUM EDTA (PRESERVATIVE).)/ Olive Oil/ Tahini(Ingredients:100% Ground Sesame)/ Fresh Lemon Juice/ Garlic/ Kosher Salt/ Ground Cumin
salad,Green Bean Potato Salad,84,(3 oz Portion),Red Potato/ Cherry Tomatoes/ Green Beans/ Extra Virgin Olive Oil/ Apple Cider Vinegar(Ingredients: Apple Cider Vinegar/ Water.)/ Spicy Brown Mustard(Vinegar/ Mustard Seed/ Salt/ Spices/ Turmeric)/ Fresh Lemon Juice/ Agave/ Chives(Fresh Chives)/ Parsley/ Chopped(Fresh Italian Parsley)/ Kosher Salt
condiment,Applesauce,NA,1/2 Cup,NA
condiment,Fat Free Cottage Cheese,NA,1/2 Cup,NA
condiment,Asian Sesame Dressing,NA,Ounce,NA
condiment,Blue Cheese Dressing,NA,Tablespoon,NA
condiment,Country French Dressing,NA,Tablespoon,NA
condiment,Creamy Caesar Dressing,NA,Tablespoon,NA
condiment,Low Calorie Italian Dressing,NA,Tablespoon,NA
condiment,Balsamicl Vinaigrette w/olive oil,NA,Tablespoon,NA
condiment,Ranch Dressing,NA,Tablespoon,NA
condiment,Lite Red Wine Vinaigrette,NA,Tablespoon,NA
condiment,Thousand Island Dressing,NA,Tablespoon,NA
condiment,Hummus,NA,Tablespoon,NA
condiment,White Bean Hummus,NA,Tablespoon,NA
condiment,Tomato Basil Hummus,NA,Tablespoon,NA
condiment,Sundried Tomato Hummus,NA,Tablespoon,NA
condiment,Spinach and Feta Hummus,NA,Tablespoon,NA
condiment,Spinach Hummus,NA,Tablespoon,NA
condiment,Roasted Eggplant Hummus,NA,Tablespoon,NA
condiment,Red Pepper and Feta Hummus,NA,Tablespoon,NA
condiment,Red Pepper Hummus,NA,Tablespoon,NA
condiment,Red Hummus,NA,Tablespoon,NA
condiment,Hummus Pumpkin,NA,Tablespoon,NA
condiment,Maple Cranberry Hummus,NA,Tablespoon,NA
condiment,Kalamata Olive Hummus,NA,Tablespoon,NA
condiment,Chipotle Cilantro Hummus,NA,Tablespoon,NA
condiment,Black Bean Hummus,NA,Tablespoon,NA
condiment,Avocado Hummus,NA,Tablespoon,NA
condiment,Artichoke and White Bean Hummus,NA,Tablespoon,NA
condiment,Olive Oil,NA,Tablespoon,NA
