Menu Items Table,Item Name,Serving Size,# of Servings
Condiments,Condiments,Condiments,Condiments
,Applesauce,1/2 Cup,12345
,Fat Free Cottage Cheese,1/2 Cup,12345
,Asian Sesame Dressing,Ounce,12345
,Blue Cheese Dressing,Tablespoon,12345
,Country French Dressing,Tablespoon,12345
,Creamy Caesar Dressing,Tablespoon,12345
,Low Calorie Italian Dressing,Tablespoon,12345
,Balsamicl Vinaigrette w/olive oil,Tablespoon,12345
,Ranch Dressing,Tablespoon,12345
,Lite Red Wine Vinaigrette,Tablespoon,12345
,Thousand Island Dressing,Tablespoon,12345
,Hummus,Tablespoon,12345
,White Bean Hummus,Tablespoon,12345
,Tomato Basil Hummus,Tablespoon,12345
,Sundried Tomato Hummus,Tablespoon,12345
,Spinach and Feta Hummus,Tablespoon,12345
,Spinach Hummus,Tablespoon,12345
,Roasted Eggplant Hummus,Tablespoon,12345
,Red Pepper and Feta Hummus,Tablespoon,12345
,Red Pepper Hummus,Tablespoon,12345
,Red Hummus,Tablespoon,12345
,Hummus Pumpkin,Tablespoon,12345
,Maple Cranberry Hummus,Tablespoon,12345
,Kalamata Olive Hummus,Tablespoon,12345
,Chipotle Cilantro Hummus,Tablespoon,12345
,Black Bean Hummus,Tablespoon,12345
,Avocado Hummus,Tablespoon,12345
,Artichoke and White Bean Hummus,Tablespoon,12345
,Olive Oil,Tablespoon,12345
,Basil Pesto,Tablespoon,12345
,Salsa,Tablespoon,12345
,Balsamic Vinegar,Tablespoon,12345
,Apple Cider Vinegar,Tablespoon,12345
,Soy Yogurt,Ounce,12345
,Greek Yogurt,1/2 Cup,12345
,Saltines,Packet (2ct),12345
Fruit,Fruit,Fruit,Fruit
,Granny Smith Apple,Apple,12345
,Banana,Banana,12345
,Pluot,Pluot,12345
,Grapefruit,Half Grapefruit,12345
,Green Grapes,1/2 cup,12345
,Pineapple,1/2 Cup,12345
,Fresh Fruit Salad,1/2 Cup,12345
,Red Grapes,1/2 cup,12345
,Nectarine,Nectarine,12345
,Orange,Orange,12345
,Local Orchard Apples,Apple,12345
,Peach,Peach,12345
,Pear,Pear,12345
,Plum,Plum,12345
,Tangerine,Tangerine,12345
,Cantaloupe,1/2 cup,12345
,Honeydew Melon,1/2 cup,12345
,Watermelon,1 cup,12345
Items & Toppings,Items & Toppings,Items & Toppings,Items & Toppings
,Crumbled Bacon,Tablespoon,12345
,Black Beans,1/2 Cup,12345
,Chickpeas,1/2 Cup,12345
,Wheat Germ,Tablespoon,12345
,White Cheddar Cheese,Ounce,12345
,Feta Cheese,Ounce,12345
,Dried Cranberries,Tablespoon,12345
,Croutons,Packet,12345
,Edamame,1/2 Cup,12345
,Cage Free Hard Boiled Egg,Egg,12345
,Chia Seeds,Ounce,12345
,Hemp Seeds Raw,Tablespoon,12345
,Rice Noodle Sticks,1/2 cup,12345
,Organic Peanut Butter,Packet,12345
,Wasabi Peas,Tablespoon,12345
,Kosher Dill Pickle Slices,4 Slices,12345
,Raisins,Tablespoon,12345
,Organic Brown Flax Seeds,Tablespoon,12345
,Light Brown Sugar,Teaspoon,12345
,Sunflower Seeds,Tablespoon,12345
,Tofu,Ounce,12345
,Nutritional Yeast,Tablespoon,12345
Lettuce,Lettuce,Lettuce,Lettuce
,Spring Mix,Ounce,12345
,Romaine Lettuce,Cup,12345
,Spinach,Cup,12345
Vegetables,Vegetables,Vegetables,Vegetables
,Broccoli,1/2 Cup,12345
,Baby Carrots,1/2 cup,12345
,Celery,1/2 Cup,12345
,Baby Corn,1/2 Cup,12345
,Cucumber,Slice,12345
,Black Olives,Tablespoon,12345
,Mediterranean Olive Mix,1/4 cup,12345
,Roasted Beets,4 oz Portion,12345
,Red Onion,1/2 cup,12345
,Pepperoncini,Pepper,12345
,Green Bell Pepper,1/2 cup,12345
,Pickled Jalapenos,Ounce,12345
,Roasted Butternut Squash,1/2 Cup,12345
,Roasted Potatoes,1/2 Cup,12345
,Roasted Squash Mix,1/2 Cup,12345
,Steamed Asparagus,1/2 Cup,12345
,Steamed Bean Medley,1/2 Cup,12345
,Steamed Snow Peas,1/2 Cup,12345
,Steamed Sugar Snap Peas,1/2 Cup,12345
,Grape Tomatoes,1/2 Cup,12345
,"Mushroom, White, Sliced",Ounce,12345
